research_field,response
Asian Studies,"[
{
""topic_words"": [""china"", ""xi"", ""jinping"", ""politics"", ""governance""],
""topic_label"": ""Contemporary Chinese Politics""
},
{
""topic_words"": [""securitization"", ""maritime"", ""south"", ""conflict"", ""territorial""],
""topic_label"": ""Asian Security Issues""
},
{
""topic_words"": [""buddhism"", ""confucianism"", ""daoism"", ""religion"", ""philosophy""],
""topic_label"": ""East Asian Philosophies""
},
{
""topic_words"": [""colonialism"", ""postcolonial"", ""imperialism"", ""independence"", ""nationalism""],
""topic_label"": ""Postcolonial Asia""
},
{
""topic_words"": [""trade"", ""supply"", ""chains"", ""economic"", ""development""],
""topic_label"": ""Asian Economic Development""
},
{
""topic_words"": [""diaspora"", ""migration"", ""identity"", ""cultural"", ""transnational""],
""topic_label"": ""Asian Diaspora and Migration""
},
{
""topic_words"": [""gender"", ""women"", ""sexuality"", ""feminism"", ""sociology""],
""topic_label"": ""Gender Studies in Asia""
}
]"
Central American Studies,"[
{
""topic_words"": [""migration"", ""border"", ""remittances"", ""diaspora"", ""caravan""],
""topic_label"": ""Migration and Border Dynamics""
},
{
""topic_words"": [""maya"", ""indigenous"", ""colonialism"", ""resistance"", ""cosmology""],
""topic_label"": ""Indigenous Maya Studies""
},
{
""topic_words"": [""civil"", ""conflict"", ""truth"", ""justice"", ""memory""],
""topic_label"": ""Post-Conflict and Memory""
},
{
""topic_words"": [""banana"", ""us"", ""intervention"", ""imperialism"", ""plantations""],
""topic_label"": ""US Intervention and History""
},
{
""topic_words"": [""gender"", ""feminism"", ""sexuality"", ""machismo"", ""activism""],
""topic_label"": ""Gender and Sexuality Studies""
},
{
""topic_words"": [""poverty"", ""inequality"", ""development"", ""neoliberalism"", ""economy""],
""topic_label"": ""Socioeconomic Development""
},
{
""topic_words"": [""literature"", ""poetry"", ""testimonio"", ""narratives"", ""culture""],
""topic_label"": ""Literature and Cultural Production""
}
]"
Latin American Studies,"[
{
""topic_words"": [""colonialism"", ""postcolonial"", ""criollismo"", ""indigenous"", ""modernity""],
""topic_label"": ""Colonial & Postcolonial Studies""
},
{
""topic_words"": [""dictatorship"", ""democracy"", ""populism"", ""authoritarianism"", ""neoliberalism""],
""topic_label"": ""Political Systems and Economics""
},
{
""topic_words"": [""gender"", ""sexuality"", ""race"", ""feminism"", ""intersectionality""],
""topic_label"": ""Race, Gender, and Sexuality""
},
{
""topic_words"": [""migration"", ""borders"", ""remittances"", ""diaspora"", ""transnational""],
""topic_label"": ""Transnational Migration Dynamics""
},
{
""topic_words"": [""literature"", ""testimonio"", ""popular"", ""culture"", ""film""],
""topic_label"": ""Cultural and Literary Analysis""
},
{
""topic_words"": [""catholicism"", ""religion"", ""liberation"", ""church"", ""spirituality""],
""topic_label"": ""Latin American Catholicism""
},
{
""topic_words"": [""environment"", ""deforestation"", ""ecology"", ""extractivism"", ""climate""],
""topic_label"": ""Political Ecology & Environment""
}
]"
Near and Middle Eastern Studies,"[
{
""topic_words"": [""islam"", ""sharia"", ""sufism"", ""caliphate"", ""quran""],
""topic_label"": ""Classical Islamic Thought""
},
{
""topic_words"": [""arabic"", ""persian"", ""hebrew"", ""turkish"", ""aramaic""],
""topic_label"": ""Near Eastern Languages""
},
{
""topic_words"": [""oil"", ""revolution"", ""politics"", ""conflict"", ""nationalism""],
""topic_label"": ""Modern Middle East Politics""
},
{
""topic_words"": [""sumerian"", ""akkadian"", ""cuneiform"", ""egyptology"", ""pharaoh""],
""topic_label"": ""Ancient Near East Civilizations""
},
{
""topic_words"": [""archaeology"", ""levant"", ""ruins"", ""artifacts"", ""excavation""],
""topic_label"": ""Near Eastern Archaeology""
},
{
""topic_words"": [""gender"", ""women"", ""family"", ""social"", ""society""],
""topic_label"": ""Gender and Society Studies""
},
{
""topic_words"": [""ottoman"", ""safavid"", ""byzantine"", ""mamluk"", ""empire""],
""topic_label"": ""Imperial and Dynastic History""
}
]"
Soviet and Post-Soviet Studies,"[ { ""topic_words"": [""ussr"", ""collapse"", ""transition"", ""perestroika"", ""gorbachev""], ""topic_label"": ""Soviet Collapse and Transition"" }, { ""topic_words"": [""lenin"", ""stalin"", ""party"", ""politburo"", ""ideology""], ""topic_label"": ""Communist Party and Ideology"" }, { ""topic_words"": [""decolonization"", ""empire"", ""nationalism"", ""identity"", ""successor""], ""topic_label"": ""Post-Soviet Decolonization & Identity"" }, { ""topic_words"": [""economy"", ""privatization"", ""oligarchs"", ""market"", ""reform""], ""topic_label"": ""Post-Soviet Economic Transition"" }, { ""topic_words"": [""kgb"", ""dissidents"", ""gulag"", ""repression"", ""surveillance""], ""topic_label"": ""Soviet Repression and Security"" }, { ""topic_words"": [""culture"", ""samizdat"", ""art"", ""propaganda"", ""realism""], ""topic_label"": ""Soviet Culture and Art"" }, { ""topic_words"": [""conflict"", ""frozen"", ""chechnya"", ""georgia"", ""ukraine""], ""topic_label"": ""Post-Soviet Conflicts"" } ]"
Criminology and Criminal Justice,"[
{
""topic_words"": [""deterrence"", ""rehabilitation"", ""punishment"", ""incapacitation"", ""retribution""],
""topic_label"": ""Theories of Punishment""
},
{
""topic_words"": [""police"", ""discretion"", ""profiling"", ""legitimacy"", ""community""],
""topic_label"": ""Policing and Law Enforcement""
},
{
""topic_words"": [""incarceration"", ""recidivism"", ""re-entry"", ""parole"", ""corrections""],
""topic_label"": ""Corrections and Incarceration""
},
{
""topic_words"": [""victimization"", ""trauma"", ""support"", ""restorative"", ""justice""],
""topic_label"": ""Victimology and Restorative Justice""
},
{
""topic_words"": [""juvenile"", ""delinquency"", ""prevention"", ""gangs"", ""courts""],
""topic_label"": ""Juvenile Justice System""
},
{
""topic_words"": [""social"", ""strain"", ""control"", ""labeling"", ""biosocial""],
""topic_label"": ""Sociological Theories of Crime""
},
{
""topic_words"": [""sentencing"", ""bail"", ""prosecution"", ""defense"", ""adjudication""],
""topic_label"": ""Criminal Court Processes""
}
]"
Forensic Science and Technology,"[
{
""topic_words"": [""dna"", ""sequencing"", ""genetics"", ""identification"", ""biometrics""],
""topic_label"": ""Forensic DNA Analysis""
},
{
""topic_words"": [""digital"", ""evidence"", ""cybercrime"", ""analysis"", ""devices""],
""topic_label"": ""Digital Evidence & Cybercrime""
},
{
""topic_words"": [""toxicology"", ""drugs"", ""fluids"", ""seized"", ""substances""],
""topic_label"": ""Forensic Toxicology & Drugs""
},
{
""topic_words"": [""fingerprints"", ""pattern"", ""biometrics"", ""latent"", ""comparison""],
""topic_label"": ""Pattern Evidence Comparison""
},
{
""topic_words"": [""ballistics"", ""toolmarks"", ""firearms"", ""trajectory"", ""comparison""],
""topic_label"": ""Firearms and Toolmarks""
},
{
""topic_words"": [""crime"", ""scene"", ""documentation"", ""reconstruction"", ""examination""],
""topic_label"": ""Crime Scene Investigation""
},
{
""topic_words"": [""trace"", ""material"", ""hairs"", ""fibers"", ""glass""],
""topic_label"": ""Trace Evidence Analysis""
}
]"
Other Legal Studies,"[
{
""topic_words"": [""consumer"", ""protection"", ""rights"", ""fraud"", ""debt""],
""topic_label"": ""Consumer Rights and Protection""
},
{
""topic_words"": [""intellectual"", ""property"", ""copyright"", ""patent"", ""trademark""],
""topic_label"": ""Intellectual Property Law""
},
{
""topic_words"": [""administrative"", ""regulation"", ""agency"", ""rulemaking"", ""review""],
""topic_label"": ""Administrative Law and Regulation""
},
{
""topic_words"": [""international"", ""customary"", ""treaty"", ""sovereignty"", ""conflict""],
""topic_label"": ""International Legal Issues""
},
{
""topic_words"": [""civics"", ""constitution"", ""governance"", ""citizen"", ""rights""],
""topic_label"": ""Foundational Civics and Law""
},
{
""topic_words"": [""ethics"", ""professional"", ""conduct"", ""malpractice"", ""responsibility""],
""topic_label"": ""Legal Ethics and Conduct""
},
{
""topic_words"": [""media"", ""defamation"", ""privacy"", ""libel"", ""slander""],
""topic_label"": ""Media Law""
}
]"
Archival Science,"[
{
""topic_words"": [""digital"", ""preservation"", ""metadata"", ""migration"", ""access""],
""topic_label"": ""Digital Preservation Strategies""
},
{
""topic_words"": [""records"", ""management"", ""lifecycle"", ""appraisal"", ""disposition""],
""topic_label"": ""Records Lifecycle Management""
},
{
""topic_words"": [""provenance"", ""original"", ""order"", ""context"", ""description""],
""topic_label"": ""Archival Theory and Description""
},
{
""topic_words"": [""manuscripts"", ""rare"", ""books"", ""curation"", ""special""],
""topic_label"": ""Special Collections Curation""
},
{
""topic_words"": [""ethics"", ""privacy"", ""confidentiality"", ""law"", ""accessioning""],
""topic_label"": ""Archival Ethics and Law""
},
{
""topic_words"": [""conservation"", ""materials"", ""storage"", ""reformatting"", ""disaster""],
""topic_label"": ""Physical Conservation and Storage""
},
{
""topic_words"": [""outreach"", ""community"", ""engagement"", ""literacy"", ""user""],
""topic_label"": ""Archival Outreach and Use""
}
]"
Health Sciences and Medical,"[
{
""topic_words"": [""clinical"", ""trial"", ""randomized"", ""efficacy"", ""intervention""],
""topic_label"": ""Clinical Trial Methodology""
},
{
""topic_words"": [""patient"", ""safety"", ""harm"", ""quality"", ""adverse""],
""topic_label"": ""Patient Safety and Quality""
},
{
""topic_words"": [""public"", ""health"", ""epidemiology"", ""prevention"", ""population""],
""topic_label"": ""Population Health and Prevention""
},
{
""topic_words"": [""diagnostic"", ""imaging"", ""mri"", ""ct"", ""ultrasound""],
""topic_label"": ""Medical Diagnostic Imaging""
},
{
""topic_words"": [""drug"", ""development"", ""pharmacology"", ""fda"", ""therapeutic""],
""topic_label"": ""Drug Development and Therapeutics""
},
{
""topic_words"": [""electronic"", ""health"", ""records"", ""informatics"", ""data""],
""topic_label"": ""Health Informatics and EHR""
},
{
""topic_words"": [""disease"", ""biomarker"", ""pathogenesis"", ""molecular"", ""etiology""],
""topic_label"": ""Molecular Disease Pathogenesis""
}
]"
Information Literacy,"[
{
""topic_words"": [""search"", ""strategy"", ""keywords"", ""database"", ""retrieval""],
""topic_label"": ""Information Search Strategies""
},
{
""topic_words"": [""source"", ""evaluation"", ""credibility"", ""bias"", ""authority""],
""topic_label"": ""Source Evaluation and Credibility""
},
{
""topic_words"": [""plagiarism"", ""citation"", ""ethics"", ""copyright"", ""fair""],
""topic_label"": ""Academic Integrity and Citation""
},
{
""topic_words"": [""digital"", ""media"", ""fake"", ""news"", ""misinformation""],
""topic_label"": ""Digital and Media Literacy""
},
{
""topic_words"": [""metaliteracy"", ""critical"", ""thinking"", ""competence"", ""lifelong""],
""topic_label"": ""Critical and Lifelong Learning""
},
{
""topic_words"": [""research"", ""process"", ""thesis"", ""scholarly"", ""dissemination""],
""topic_label"": ""Scholarly Research Process""
},
{
""topic_words"": [""library"", ""instruction"", ""pedagogy"", ""assessment"", ""curriculum""],
""topic_label"": ""Information Literacy Pedagogy""
}
]"
Law Librarianship,"[
{
""topic_words"": [""research"", ""instruction"", ""literacy"", ""patron"", ""services""],
""topic_label"": ""Legal Research Instruction""
},
{
""topic_words"": [""legal"", ""database"", ""analytics"", ""technology"", ""information""],
""topic_label"": ""Legal Information Technology""
},
{
""topic_words"": [""collection"", ""management"", ""acquisition"", ""licensing"", ""budget""],
""topic_label"": ""Law Library Collection Management""
},
{
""topic_words"": [""preservation"", ""digital"", ""archive"", ""access"", ""content""],
""topic_label"": ""Legal Content Preservation""
},
{
""topic_words"": [""foreign"", ""international"", ""comparative"", ""jurisdiction"", ""resources""],
""topic_label"": ""International Legal Resources""
},
{
""topic_words"": [""cataloging"", ""metadata"", ""organization"", ""classification"", ""systems""],
""topic_label"": ""Cataloging and Metadata""
},
{
""topic_words"": [""academic"", ""faculty"", ""curriculum"", ""scholarship"", ""teaching""],
""topic_label"": ""Academic Law Librarianship""
}
]"
Anthropological Linguistics and Sociolinguistics,"[
{
""topic_words"": [""language"", ""culture"", ""meaning"", ""context"", ""ethnography""],
""topic_label"": ""Language and Cultural Context""
},
{
""topic_words"": [""discourse"", ""social"", ""interaction"", ""power"", ""identity""],
""topic_label"": ""Discourse and Social Identity""
},
{
""topic_words"": [""variation"", ""change"", ""community"", ""indexicality"", ""style""],
""topic_label"": ""Sociolinguistic Variation and Change""
},
{
""topic_words"": [""bilingualism"", ""contact"", ""migration"", ""creolization"", ""shift""],
""topic_label"": ""Language Contact and Multilingualism""
},
{
""topic_words"": [""performance"", ""ritual"", ""narrative"", ""speech"", ""event""],
""topic_label"": ""Linguistic Performance and Ritual""
},
{
""topic_words"": [""ideology"", ""attitudes"", ""standardization"", ""preservation"", ""policy""],
""topic_label"": ""Language Ideology and Policy""
},
{
""topic_words"": [""child"", ""acquisition"", ""socialization"", ""development"", ""interaction""],
""topic_label"": ""Language Socialization in Children""
}
]"
Discourse and Text Linguistics,"[
{
""topic_words"": [""cohesion"", ""coherence"", ""reference"", ""ellipsis"", ""conjunction""],
""topic_label"": ""Text Cohesion and Coherence""
},
{
""topic_words"": [""speech"", ""acts"", ""conversation"", ""turn-taking"", ""sequence""],
""H"": ""Discourse and Conversation Analysis""
},
{
""topic_words"": [""genre"", ""register"", ""context"", ""social"", ""purpose""],
""topic_label"": ""Genre and Register Studies""
},
{
""topic_words"": [""critical"", ""power"", ""ideology"", ""representation"", ""social""],
""topic_label"": ""Critical Discourse Analysis""
},
{
""topic_words"": [""rhetoric"", ""persuasion"", ""argumentation"", ""structure"", ""move""],
""topic_label"": ""Rhetoric and Argumentation""
},
{
""topic_words"": [""anaphora"", ""cataphora"", ""deixis"", ""pronoun"", ""tracking""],
""topic_label"": ""Reference Tracking in Text""
},
{
""topic_words"": [""narrative"", ""storytelling"", ""plot"", ""character"", ""perspective""],
""topic_label"": ""Narrative Discourse Analysis""
}
]"
Language Description and Documentation,"[
{
""topic_words"": [""corpus"", ""elicitation"", ""experimentation"", ""data"", ""collection""],
""topic_label"": ""Linguistic Data Collection Methods""
},
{
""topic_words"": [""phonetics"", ""phonology"", ""sounds"", ""system"", ""articulation""],
""topic_label"": ""Sound System Description""
},
{
""topic_words"": [""morphology"", ""syntax"", ""structure"", ""words"", ""sentences""],
""topic_label"": ""Word and Sentence Structure""
},
{
""topic_words"": [""grammar"", ""lexicon"", ""fieldwork"", ""dictionary"", ""speakers""],
""topic_label"": ""Creating Descriptive Grammars""
},
{
""topic_words"": [""pragmatics"", ""discourse"", ""context"", ""usage"", ""interaction""],
""topic_label"": ""Language Use and Context""
},
{
""topic_words"": [""endangered"", ""revitalization"", ""maintenance"", ""access"", ""preservation""],
""topic_label"": ""Endangered Language Preservation""
},
{
""topic_words"": [""historical"", ""change"", ""reconstruction"", ""comparative"", ""relatedness""],
""topic_label"": ""Historical Language Studies""
}
]"
